time,open,high,low,close,volume
2024-01-17 03:00:00,1.08746,1.08749,1.08651,1.08664,2039
2024-01-17 04:00:00,1.08664,1.08712,1.08648,1.08710,1830
2024-01-17 05:00:00,1.08710,1.08723,1.08608,1.08648,2795
2024-01-17 06:00:00,1.08650,1.08650,1.08555,1.08626,3436
2024-01-17 07:00:00,1.08626,1.08739,1.08586,1.08702,6811
2024-01-17 08:00:00,1.08702,1.08817,1.08663,1.08668,6538
2024-01-17 09:00:00,1.08668,1.08788,1.08610,1.08768,5248
2024-01-17 10:00:00,1.08764,1.08839,1.08672,1.08719,5247
2024-01-17 11:00:00,1.08722,1.08832,1.08699,1.08786,3921
2024-01-17 12:00:00,1.08787,1.08814,1.08696,1.08744,3794
2024-01-17 13:00:00,1.08744,1.08788,1.08512,1.08640,9331
2024-01-17 14:00:00,1.08642,1.08705,1.08478,1.08490,8320
2024-01-17 15:00:00,1.08490,1.08710,1.08446,1.08492,8624
2024-01-17 16:00:00,1.08490,1.08648,1.08478,1.08574,5862
2024-01-17 17:00:00,1.08575,1.08701,1.08569,1.08671,4078
2024-01-17 18:00:00,1.08668,1.08676,1.08566,1.08659,4585
2024-01-17 19:00:00,1.08660,1.08790,1.08659,1.08740,3813
2024-01-17 20:00:00,1.08738,1.08821,1.08704,1.08811,2977
2024-01-17 21:00:00,1.08810,1.08829,1.08810,1.08821,1195
2024-01-17 22:00:00,1.08824,1.08836,1.08802,1.08824,2187
2024-01-17 23:00:00,1.08834,1.08862,1.08818,1.08861,871
2024-01-18 00:00:00,1.08862,1.08943,1.08804,1.08940,2736
2024-01-18 01:00:00,1.08941,1.09009,1.08924,1.08962,4209
2024-01-18 02:00:00,1.08964,1.09030,1.08932,1.08935,2469
2024-01-18 03:00:00,1.08932,1.08983,1.08906,1.08956,2506
2024-01-18 04:00:00,1.08954,1.08964,1.08912,1.08944,1711
2024-01-18 05:00:00,1.08942,1.08962,1.08904,1.08950,2254
2024-01-18 06:00:00,1.08949,1.09068,1.08948,1.09040,3089
2024-01-18 07:00:00,1.09037,1.09066,1.08864,1.08882,3819
2024-01-18 08:00:00,1.08880,1.08890,1.08776,1.08800,5178
2024-01-18 09:00:00,1.08796,1.08997,1.08767,1.08847,4850
2024-01-18 10:00:00,1.08846,1.08961,1.08830,1.08950,3812
2024-01-18 11:00:00,1.08950,1.08956,1.08847,1.08892,3561
2024-01-18 12:00:00,1.08894,1.08942,1.08747,1.08776,4318
2024-01-18 13:00:00,1.08775,1.08777,1.08506,1.08526,9415
2024-01-18 14:00:00,1.08526,1.08692,1.08494,1.08597,10327
2024-01-18 15:00:00,1.08596,1.08681,1.08468,1.08522,9409
2024-01-18 16:00:00,1.08522,1.08702,1.08504,1.08619,6237
2024-01-18 17:00:00,1.08620,1.08647,1.08502,1.08598,5348
2024-01-18 18:00:00,1.08594,1.08660,1.08542,1.08638,4667
2024-01-18 19:00:00,1.08638,1.08692,1.08603,1.08620,4211
2024-01-18 20:00:00,1.08617,1.08696,1.08608,1.08692,3452
2024-01-18 21:00:00,1.08692,1.08776,1.08685,1.08763,1414
2024-01-18 22:00:00,1.08746,1.08776,1.08712,1.08748,1969
2024-01-18 23:00:00,1.08751,1.08806,1.08748,1.08802,1162
2024-01-19 00:00:00,1.08803,1.08819,1.08779,1.08800,2194
2024-01-19 01:00:00,1.08803,1.08875,1.08762,1.08856,3021
2024-01-19 02:00:00,1.08854,1.08898,1.08826,1.08882,2643
2024-01-19 03:00:00,1.08884,1.08894,1.08855,1.08890,1644
2024-01-19 04:00:00,1.08892,1.08895,1.08855,1.08865,1049
2024-01-19 05:00:00,1.08864,1.08871,1.08796,1.08810,1935
2024-01-19 06:00:00,1.08806,1.08825,1.08755,1.08810,2385
2024-01-19 07:00:00,1.08818,1.08864,1.08746,1.08794,4466
2024-01-19 08:00:00,1.08796,1.08820,1.08680,1.08774,4291
2024-01-19 09:00:00,1.08772,1.08850,1.08714,1.08831,4339
2024-01-19 10:00:00,1.08828,1.08853,1.08731,1.08810,3617
2024-01-19 11:00:00,1.08813,1.08932,1.08794,1.08874,3119
2024-01-19 12:00:00,1.08874,1.08882,1.08801,1.08826,3048
2024-01-19 13:00:00,1.08828,1.08896,1.08756,1.08807,5562
2024-01-19 14:00:00,1.08806,1.08837,1.08657,1.08804,6952
2024-01-19 15:00:00,1.08806,1.08899,1.08697,1.08826,9945
2024-01-19 16:00:00,1.08827,1.08880,1.08808,1.08866,5828
2024-01-19 17:00:00,1.08865,1.08935,1.08802,1.08898,4548
2024-01-19 18:00:00,1.08898,1.08964,1.08858,1.08922,3146
2024-01-19 19:00:00,1.08923,1.08949,1.08881,1.08924,3967
2024-01-19 20:00:00,1.08924,1.08959,1.08900,1.08952,2896
2024-01-19 21:00:00,1.08950,1.08978,1.08941,1.08976,1766
2024-01-21 22:00:00,1.08929,1.08970,1.08894,1.08924,1677
2024-01-21 23:00:00,1.08926,1.08978,1.08907,1.08921,1479
2024-01-22 00:00:00,1.08919,1.09017,1.08912,1.09012,2085
2024-01-22 01:00:00,1.09014,1.09050,1.08989,1.09020,2950
2024-01-22 02:00:00,1.09021,1.09094,1.08997,1.09074,1919
2024-01-22 03:00:00,1.09074,1.09078,1.09014,1.09021,1558
2024-01-22 04:00:00,1.09020,1.09047,1.09008,1.09030,1260
2024-01-22 05:00:00,1.09030,1.09048,1.08985,1.09018,1948
2024-01-22 06:00:00,1.09016,1.09098,1.09014,1.09049,2630
2024-01-22 07:00:00,1.09046,1.09080,1.08972,1.08978,4147
2024-01-22 08:00:00,1.08974,1.09010,1.08874,1.08919,5440
2024-01-22 09:00:00,1.08916,1.09024,1.08899,1.08970,3608
2024-01-22 10:00:00,1.08969,1.08970,1.08858,1.08867,3156
2024-01-22 11:00:00,1.08868,1.08904,1.08816,1.08902,3314
2024-01-22 12:00:00,1.08901,1.08998,1.08880,1.08928,3980
2024-01-22 13:00:00,1.08926,1.08954,1.08800,1.08916,5414
2024-01-22 14:00:00,1.08919,1.08963,1.08853,1.08899,5607
2024-01-22 15:00:00,1.08896,1.08983,1.08826,1.08853,5462
2024-01-22 16:00:00,1.08854,1.08946,1.08818,1.08940,3459
2024-01-22 17:00:00,1.08944,1.09000,1.08908,1.08964,2677
2024-01-22 18:00:00,1.08964,1.08964,1.08839,1.08902,3320
2024-01-22 19:00:00,1.08902,1.08912,1.08804,1.08848,2853
2024-01-22 20:00:00,1.08850,1.08856,1.08804,1.08843,2324
2024-01-22 21:00:00,1.08841,1.08850,1.08816,1.08826,1347
2024-01-22 22:00:00,1.08848,1.08852,1.08810,1.08826,1360
2024-01-22 23:00:00,1.08825,1.08827,1.08768,1.08774,989
2024-01-23 00:00:00,1.08778,1.08842,1.08758,1.08832,1452
2024-01-23 01:00:00,1.08831,1.08888,1.08768,1.08885,2183
2024-01-23 02:00:00,1.08886,1.08940,1.08852,1.08875,3101
2024-01-23 03:00:00,1.08877,1.08952,1.08854,1.08928,3040
2024-01-23 04:00:00,1.08930,1.08988,1.08916,1.08986,1647
2024-01-23 05:00:00,1.08988,1.09080,1.08968,1.09070,2007
2024-01-23 06:00:00,1.09072,1.09143,1.09016,1.09142,3720
2024-01-23 07:00:00,1.09140,1.09160,1.09038,1.09082,4889
2024-01-23 08:00:00,1.09084,1.09107,1.08926,1.08951,4645
2024-01-23 09:00:00,1.08950,1.08952,1.08838,1.08876,3790
2024-01-23 10:00:00,1.08875,1.08884,1.08675,1.08694,3754
2024-01-23 11:00:00,1.08696,1.08722,1.08600,1.08665,3534
2024-01-23 12:00:00,1.08664,1.08734,1.08605,1.08638,3230
2024-01-23 13:00:00,1.08642,1.08760,1.08642,1.08740,4497
2024-01-23 14:00:00,1.08738,1.08740,1.08484,1.08527,6201
2024-01-23 15:00:00,1.08529,1.08583,1.08216,1.08309,7738
2024-01-23 16:00:00,1.08312,1.08397,1.08258,1.08282,5319
2024-01-23 17:00:00,1.08282,1.08359,1.08246,1.08314,3856
2024-01-23 18:00:00,1.08316,1.08394,1.08305,1.08370,3307
2024-01-23 19:00:00,1.08371,1.08478,1.08359,1.08453,2962
2024-01-23 20:00:00,1.08454,1.08502,1.08436,1.08499,2295
2024-01-23 21:00:00,1.08502,1.08560,1.08483,1.08536,1363
2024-01-23 22:00:00,1.08480,1.08556,1.08480,1.08540,527
2024-01-23 23:00:00,1.08536,1.08593,1.08534,1.08574,745
2024-01-24 00:00:00,1.08576,1.08600,1.08554,1.08560,1679
2024-01-24 01:00:00,1.08558,1.08594,1.08514,1.08581,3157
